steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
695	7	2.328152894973755	206.4	200.0	44.196153678798794	261.0	162.0	0.0198274876542695	0.5646725893476313
1172	10	3.5625572204589844	229.8	241.0	35.7169427583045	255.0	167.0	0.04117560315663434	0.7428183549060761
1700	17	4.863363027572632	155.0	169.0	66.17779083650345	229.0	56.0	0.027615887121036544	0.84880647115444
2052	20	5.672456502914429	225.6	226.0	12.77888884058391	245.0	210.0	0.06326629162633887	1.5812172371276483
2516	27	7.146847248077393	193.0	210.0	44.42409256248236	242.0	145.0	0.061887832232386114	1.765624377145703
3050	37	8.891799211502075	208.6	185.0	52.32876837839775	273.0	157.0	0.07876710022260845	1.9020156104142132
3541	45	9.790960311889648	201.6	209.0	34.59479729670345	247.0	155.0	0.08111918050601655	1.5548530023708507
4026	51	11.479912042617798	206.2	214.0	58.20395175587307	276.0	119.0	0.09436348643587178	1.7110939909109342
4510	60	13.346510410308838	212.6	231.0	38.952535219161284	247.0	162.0	0.11547317041178663	1.8424050302647081
5008	70	14.395013332366943	159.8	141.0	73.26458899086242	235.0	61.0	0.11234367598329373	1.8715342886676827
5504	78	15.2217435836792	215.4	209.0	44.99222154995239	268.0	168.0	0.23706811508997797	2.8312667276714056
6053	88	17.592398405075073	178.6	182.0	55.72521870751159	241.0	92.0	0.2560331608773174	2.897249785141414
6524	98	18.75801706314087	210.6	189.0	55.66237508407273	273.0	154.0	0.273774966883156	2.9134832405729028
7050	108	20.599531412124634	149.8	170.0	81.71413586399846	222.0	24.0	0.20354492262493384	2.3653787838774103
7544	119	21.944352865219116	167.4	181.0	83.84688425934502	266.0	43.0	0.3371483948305633	3.0368103802781063
8013	124	22.6953125	155.6	181.0	64.31018581842227	193.0	41.0	0.2572222252272597	2.5143840856020483
8503	132	24.155912160873413	177.4	179.0	80.00187497802786	283.0	60.0	0.4199428352337999	3.199860833379716
9146	142	26.05410122871399	218.8	227.0	51.431507852677235	276.0	135.0	0.42358608841586276	3.288297086230143
9590	151	27.545962810516357	159.8	217.0	121.2588141126244	232.0	-54.0	0.43671527399735866	3.296829700938658
10057	159	28.58963131904602	199.8	178.0	58.04050309912897	265.0	139.0	0.4473450734454696	3.3032834157539765
10548	167	29.68596339225769	212.4	218.0	25.2744930710786	244.0	176.0	0.521607279961374	3.283657100877655
11066	175	31.058467388153076	144.4	185.0	93.96169432273983	232.0	5.0	0.4619845624709969	3.004875362187819
11580	187	32.07629680633545	236.4	255.0	38.682037174895534	266.0	171.0	0.5261212062259101	3.3577422773963286
12087	198	33.90941834449768	168.6	152.0	74.35926304099577	249.0	83.0	0.5886940436377903	3.3494490867238302
12517	206	35.705353021621704	168.0	151.0	60.91387362497972	242.0	92.0	0.5903814634934059	3.350155030108499
13023	214	36.84194040298462	179.2	143.0	66.9716357871002	267.0	121.0	0.6022653681369435	3.3543983845008207
13525	224	38.39177703857422	205.0	211.0	58.9406481131655	270.0	120.0	0.6350527349370724	3.4114266343529205
14090	234	39.626699924468994	198.0	210.0	68.86218120274728	258.0	80.0	0.6158896269462576	3.242562190846578
14513	246	41.138108015060425	141.0	158.0	97.11591012805265	251.0	39.0	0.678261299429087	3.447922891062727
15048	254	42.91641592979431	146.0	194.0	115.99137898999219	260.0	-20.0	0.6554969276789111	3.295021119312218
15592	267	43.98626947402954	189.6	213.0	62.44437524709491	240.0	87.0	0.6857700620447561	3.410619189001784
16024	274	46.16514182090759	205.6	202.0	46.00869483043395	259.0	155.0	0.7224673642213328	3.445460201995135
16677	287	47.056583404541016	179.2	194.0	77.72515680267233	256.0	66.0	0.7093414220214942	3.33284191746667
17037	294	48.359904527664185	189.2	194.0	72.81277360463616	265.0	102.0	0.7847480062532882	3.4644798471568885
17537	304	49.26858353614807	222.0	238.0	36.02776706930364	252.0	162.0	0.7329178045763387	3.3558726278427757
18009	310	50.362356424331665	242.4	243.0	25.880494585691363	273.0	207.0	0.7995900525609094	3.468654711028187
18784	319	53.146198987960815	158.8	164.0	87.35387799061928	236.0	17.0	0.75194824530598	3.386511548102034
19003	326	53.58089017868042	193.0	180.0	42.40283009422838	256.0	146.0	0.804203770104784	3.477631069332091
19555	339	55.53328537940979	200.2	196.0	25.547994050414214	243.0	176.0	0.7956284000642633	3.4776328036183535
20031	349	56.52064538002014	227.4	211.0	27.208454568387378	264.0	204.0	0.7701025738161984	3.463047541221886
20557	359	58.59820103645325	178.6	160.0	46.90202554261383	245.0	130.0	0.7957562604368711	3.474478059251894
21046	368	60.49454307556152	209.6	227.0	51.72813547770691	252.0	121.0	0.8001411392423731	3.4745402141445347
21528	377	61.238868951797485	217.6	217.0	60.3431851993247	280.0	127.0	0.782298748292485	3.4855466241320583
22057	387	63.23626470565796	154.4	198.0	118.5276339087219	276.0	2.0	0.8138578844796429	3.4712175314021634
