steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
520	0	51.47635579109192	182.38	201.5	77.29247202125042	282.0	-92.0	-0.004129674386697983	0.12378176708608277
1031	0	51.48043894767761	191.315	208.0	64.36825409841713	283.0	-78.0	0.013576821262947814	0.33552307667296233
2034	24	51.68325471878052	185.925	204.0	74.03611352257518	280.0	-96.0	0.024149883395774573	0.5890971118326245
2518	32	55.003010272979736	180.31	209.0	85.77869093834131	281.0	-76.0	0.040646066839408995	0.7782575566107579
1521	13	55.10706806182861	184.535	205.0	72.7416352752161	282.0	-6.0	0.036646669448613965	0.4324653522440344
3003	44	56.222657918930054	176.13	203.0	83.1235872287093	279.0	-84.0	0.05637557873822623	0.9487186494722903
4009	63	59.415117502212524	183.285	208.5	76.69219149418606	279.0	-12.0	0.07931885978568155	1.3833859022221082
3524	56	60.58093523979187	176.925	193.5	74.30758684220312	282.0	-2.0	0.062109592515956116	1.2726308453108508
5029	90	60.74435329437256	200.235	219.0	67.45525056765952	284.0	-22.0	0.1519868983631265	1.9239134615431073
4501	74	60.971672773361206	185.125	202.0	74.44892603617394	275.0	-18.0	0.115202455617852	1.6093437727832065
5533	100	70.5316309928894	179.745	205.5	80.75261543440861	282.0	-78.0	0.2001109115807851	2.2251261237085918
6019	113	74.72862505912781	195.955	212.5	67.0804135677629	277.0	-6.0	0.30478935098415305	2.647108369247643
6535	124	88.92983317375183	189.2	207.5	76.14314739011228	285.0	-108.0	0.08650764636495009	1.035352219394251
7065	136	90.43664073944092	190.4	203.0	68.27000783542687	282.0	-12.0	0.0855890384002077	1.0795201224135642
8032	168	91.62710452079773	196.42	215.0	67.66696157241147	283.0	-6.0	0.12369088806807231	1.5749325969786934
8561	180	92.89386200904846	199.81	219.0	69.0687800812317	280.0	-4.0	0.2334732337744694	1.4660900594531323
7511	151	93.5328106880188	185.24	211.0	80.69062700482728	272.0	-14.0	0.16043934508198504	1.3517710450745704
9516	210	98.28840160369873	195.125	215.0	69.85174087678551	274.0	-16.0	0.3385874950783543	2.05062701496815
9010	194	98.29120707511902	194.935	213.0	70.81415109266561	281.0	-92.0	0.17366637332846394	1.6765397996362683
10010	236	105.05832552909851	184.305	208.5	80.61592031379534	281.0	-18.0	0.4109604924975327	2.04437983141994
11062	274	106.57475280761719	192.475	211.5	74.29189595117425	283.0	-20.0	0.6091428633430369	2.675262043699361
10516	250	106.8675549030304	189.49	211.0	75.95965538515269	280.0	-16.0	0.4596517529083234	2.403084960731493
11502	296	110.77561569213867	189.43	210.5	76.75429112453682	283.0	-20.0	0.5545458184924767	2.7900120834906152
12017	322	126.87089586257935	180.165	204.0	79.66038324218292	276.0	-106.0	0.8193296584230009	2.768934349868392
13002	390	131.5313081741333	167.285	189.5	86.99005762515704	281.0	-30.0	0.31497456281794134	1.5188891018181927
12503	359	131.62343382835388	174.84	203.0	85.19628179774516	284.0	-38.0	0.3590844052664259	1.407933381798456
13531	427	135.57225799560547	162.685	197.5	98.5899368762671	285.0	-114.0	0.2053886100851257	1.7016605093426582
14005	455	137.07986187934875	161.975	184.5	95.82293330794404	284.0	-40.0	0.676048228798899	1.9806204966638434
14509	488	140.5684187412262	162.62	193.0	93.3544905428904	282.0	-44.0	0.7224660533315829	1.902577952724457
15000	522	144.37026071548462	147.78	176.0	101.98842973099926	280.0	-108.0	0.46725400926408217	2.4035571328545373
15521	546	150.46007680892944	145.405	172.5	99.1368323715425	284.0	-112.0	0.6548770953523523	2.0730746162952363
16014	565	150.61430025100708	145.58	171.5	104.54646534955369	279.0	-108.0	0.8413596212165391	2.5793211938046796
16522	598	155.09012913703918	149.045	178.5	98.09175775618709	282.0	-122.0	0.7249918946117926	2.677682787647494
17016	635	159.91174626350403	155.675	182.5	94.70243996686881	281.0	-110.0	1.1364299758281633	2.203105098242293
17533	670	166.9870617389679	155.91	185.0	103.41015521216968	285.0	-120.0	1.3131919717887228	2.086553471191875
18001	687	173.75551080703735	142.2	176.0	104.01666855212879	282.0	-36.0	0.9996632800413279	2.6009556473044624
18505	711	179.25787234306335	134.48	160.0	100.5807238493055	284.0	-120.0	0.6321940102911958	1.582335655088062
19026	730	185.71552181243896	128.595	165.0	109.34469482527335	282.0	-120.0	0.7660432525052521	2.006805295562887
19503	747	186.8032727241516	143.03	185.5	107.55949201073814	285.0	-122.0	0.7757279346145703	1.9130920946991243
20019	775	192.53218364715576	142.575	167.0	96.42709837751802	276.0	-112.0	0.5582702138105059	2.399020750748406
20507	791	196.8875651359558	146.27	173.0	100.98254538464461	277.0	-120.0	0.8625300657503844	2.5796475935317544
21509	836	199.76111388206482	153.995	189.5	101.34693374690472	285.0	-122.0	0.8907194253422527	2.0964313251169395
21016	810	200.41862726211548	134.825	163.5	99.09157418961959	284.0	-112.0	0.7649832538455666	2.1550162386137233
22563	886	205.06801629066467	150.985	184.5	99.39694936321521	285.0	-112.0	1.1740490459869517	2.1833073867930053
22015	862	205.65870594978333	140.075	162.5	98.60631522377281	279.0	-118.0	0.8831806261272238	2.543192306288724
23009	908	212.9896318912506	147.945	183.5	101.97571873272223	282.0	-38.0	1.1142531918493015	2.1686251754777017
23536	935	219.97111082077026	132.315	164.0	106.33631947362096	279.0	-122.0	1.0511542011183541	2.528917581203078
24557	977	229.2189450263977	148.665	172.0	95.89369519887359	285.0	-34.0	0.8473709676915955	2.0462618303330404
24020	956	229.47538805007935	126.31	154.0	106.94865108943284	284.0	-40.0	1.2777881200544274	2.1588883594098025
25002	990	235.2431070804596	141.055	172.5	103.78225163181249	284.0	-128.0	0.5871692994946488	2.3939137634754664
25522	1015	242.29839944839478	130.915	166.0	106.3823471914859	280.0	-118.0	0.9325823501288171	2.012286714828062
26003	1042	244.76688408851624	140.0	169.0	105.77913844730097	285.0	-120.0	0.7906564076305975	2.1538896860069703
26504	1064	245.97559094429016	134.15	161.0	102.58991643808795	281.0	-128.0	0.9968150881637202	2.4392883133618612
27513	1105	251.6793189048767	147.925	179.0	99.5291900568212	282.0	-108.0	1.0117520116615573	2.1643655843038214
27030	1080	254.50508093833923	121.7	146.5	107.70436925110742	275.0	-126.0	1.1616931668540256	2.2011877872947574
28048	1133	256.3820683956146	141.205	162.5	100.8861389894618	282.0	-122.0	1.1198565204564197	2.1593402903882604
28521	1163	259.6831941604614	134.6	161.5	105.35167238526334	280.0	-120.0	1.056035355765422	2.3409754165418106
29007	1189	263.77113151550293	144.8	169.5	100.29594399530595	284.0	-116.0	1.0884259762100847	2.4650548807331876
29520	1221	277.14168310165405	114.15	138.0	106.62010473484042	274.0	-114.0	0.8780586405235256	2.0408220884270802
30026	1246	281.16927886009216	123.255	147.5	103.51258013512732	285.0	-126.0	1.2693901822893483	2.142745033238145
